Title;Cause;Detection;Source;Mitigation;Location-City;Location-Region;Location-Country;Impact-Dead;Impact-Ill;Impact-Hospitalized;Monitoring;Contaminant;Symptoms;Prevention;Restoration
A community outbreak of food-borne small round-structured virus gastroenteritis caused by a contaminated water supply;a number of unhygienic practices at the bakery;the personnel department of a large bakery in South Wales notified the local Environmental Health Department;contamination of the bakery water supply;describe the outbreak,identify cases,examine risk factors for illness,determine the cause,alerting all EHDs in South Wales via EPINET (an electronic mail network used for epidemiological surveillance),local general practitioners by telephone,the general public by means of a news release;Bristol;South Wales;United Kingdom,Wales;;;no one required hospitalization;faecal smears,bacteria (including Salmonella,Shigella,Campylobacter species);;diarrhoea (80%),abdominal pain (80%),vomiting (70%),fever (43%),headache;;
A community waterborne outbreak of salmonellosis and the effectiveness of a boil water order;improper roof vent,an uncovered hatch that could allow free access by wild birds;;the 100 000-gal tower;A survey of household members,boil water order;Gideon,Anderson Township;Missouri,southeastern Missouri;United States;7;650;15;Stool,rectal swab specimens,Salmonella,Shigella,Campylobacter Serotyping;Salmonella,Shigella,Campylobacter;Diarrheal illness was accompanied by abdominal cramps (in 68% of cases),self-reported fever (50%),vomiting (42%),blood in the stool (8%);Boil orders should be issued with easy-to understand instructions,door-to-door delivery of information sheets should begin as early as possible,proper water system maintenance,with adequate ongoing disinfection,proper maintenance of water storage,distribution systems,adequate training in water sanitation for water system operators,disinfection of all community water systems;residents were warned,via a local radio station,to boil their drinking water
A community-wide acute diarrheal disease outbreak associated with drinking contaminated water from shallow bore-wells in a tribal village;faecal-contaminated water from the shallow borewells;;;reviewed medical records of local health care facilities,The village residents were discouraged from using shallow bore-well water,were provided with safe canned drinking water until all leakages were secured,Leakages in water supply from the bore-wells were identified,secured,Chlorine tablets were distributed for household level water disinfection,We informed the residents to avoid open defecation near drinking water sources,residential premises,Public health staff conducted health education daily to improve awareness among the villagers about water,sanitation,hygiene,discouraged from using shallow bore-well water;Pedda-Gujjul-Thanda;Telangana;India;;191;2;stool samples,Vibrio cholerae,Salmonella,Shigella;;diarrhea,cases presented with fever (17%),vomiting (16%),abdominal pain;achieve an open-defecation free status;repair of leakages at contaminated water sources,alternative supply of purified canned drinking water
A Diarrhoeagenic Enteropathogenic Escherichia coli (EPEC) Infection Outbreak That Occurred among Elementary School Children;;notification made by an elementary school;the cooking,drinking water;determine the extent,cause,source of the outbreak;;Gyeongsangbuk-Do;South Korea;;13;;the suspected food,drinks causing the food poisoning,faecal coliforms;Escherichia coli;diarrhoea,fever,abdominal pain;Provision of safe,wholesome water access to all elementary schools by concerned authorities,especially during the likely seasons of water source contamination,as well as health education promotion about foodborne outbreaks to all school stakeholders;
A foodborne outbreak of gastroenteritis caused by Norovirus and Bacillus cereus at a university in the Shunyi District of Beijing, China 2018;;;Food from the school canteen;;Beijing;;China;;209;;rectal swabs,feces,Bacillus cereus;norovirus,Bacillus cereus;vomiting,abdominal pain,diarrhoea,fever;;
A large and persistent outbreak of typhoid fever caused by consuming contaminated water and street-vended beverages Kampala, Uganda, January;consumption of drinks made with water extracted from unprotected sources,packed in unhygienic conditions;Kampala city authorities alerted the Ugandan Ministry of Health;unprotected sources;;Kampala city;;Uganda;;10,230;;blood,motility,hydrogen sulfide production,fermentation of sugars,urease production,serological typing characteristics with various specific antisera;;typhoid fever,abdominal pain (72,72%),headache;;
A large community outbreak of gastroenteritis associated with consumption of drinking water contaminated by river water, Belgium, 2010;contamination of the tap water with river water,absence of reflux valves;Local physicians were asked to report all cases of gastroenteritis;river water;Bottled potable water was distributed to the population,Sanitation of water pipes,a warning was sent to other fire brigades,Bottled potable water was distributed to the population,Sanitation of water pipes (flushing,disinfection);Hemiksem;;Belgium;One;222;Six;water samples,faecal pollution indicators,>200 c,f,u,/100 ml for E,coli,>1100 c,f,u,/100 ml for enterococci;Campylobacter sp,(2/56),norovirus GI,GII (11/56),rotavirus (1/56),Giardia lamblia;diarrhoea (â©¾3 loose stools per 24 h) and/or vomiting;the development of a surveillance system,a wider,more thorough microbiological investigation,Syndromic surveillance combined with water incident,consumer complaints data,if additional surveillance systems had been in place,the development of a surveillance system,a wider,more thorough microbiological investigation,Syndromic surveillance combined with water incident,consumer complaints data;Sanitation of water pipes (flushing,disinfection)
A large multi-pathogen waterborne community outbreak linked to faecal contamination of a groundwater system, France, 2000;a groundwater source to this community had probably been contaminated by agricultural run-off;a general practitioner informed the local district health department;tap water;avoid the consumption of tap water,to boil it for 5 min,the population of Gourdon was informed on 25 August to avoid the consumption of tap water,to boil it for 5 min;Gourdon;south-west of France;France;;2600;;Stool samples,on tap water,on the water sampled from the two groundwater sources,Salmonella spp,Shigella spp,Staphylococcus aureus,Campylobacter spp,Yersinia enterocolitica,Escherichia coli,enterococci,rotavirus groups A,C,astrovirus,calicivirus,adenovirus types 40,41,enterovirus,hepatitis A virus,Cryptosporidum,E,coli (2263 / 100 mL),enterococci (415 / 100 mL),total coliforms (90 / 100 mL),faecal streptococci (136 / 100 mL),sulphite-reducing clostridia (10 / 100 mL);E,coli (2263 / 100 mL),enterococci (415 / 100 mL),total coliforms (90 / 100 mL),faecal streptococci (136 / 100 mL),sulphite-reducing clostridia (10 / 100 mL),group A rotavirus,C,coli;vomiting,nausea,abdominal pain,fever;the immediate area of the source was insufficiently protected,vulnerable to the environment;
A waterborne outbreak of campylobacteriosis in the South Island of New Zealand due to a failure to implement a multi-barrier approach;Heavy rains,contamination of water with animal effluent from nearby paddocks,failures in the treatment of drinking water;;nearby paddocks;;Darfield;South Island;New Zealand;;130;;one-off water samples;E,coli,Campylobacter;diarrhoea and/or abdominal pain with fever;enforce legislation,standards;
An extensive gastroenteritis outbreak after drinking-water contamination by sewage effluent, Finland;An inappropriate cross-connection between sewage-,drinking-water pipelines;customers complained of a bad smell,taste in their tap water,an increase in the number of patients with gastroenteritis was observed at the health centre;Drinking-water contamination,Extensive water,pipeline sampling was initiated,a boil-water notice issued,water chlorine concentration was increased;Extensive water,pipeline sampling was initiated,a boil-water notice issued,water chlorine concentration was increased,boil-water notice issued;Nokia;southern Finland;Finland;;8453;204;from cases with more severe symptoms,viral pathogens;Campylobacter sp,Giardia,norovirus,salmonellas,Clostridium difficile,rotavirus;diarrhoea,vomiting,nausea,abdominal pain;;Distribution of clean water,Schools,daycare centres were closed from 6 to 9 December owing to teachersâ€™,childrenâ€™s sick leave,decontamination procedures including shock chlorination,waterworks across the country,Distribution of clean water,Schools,daycare centres were closed from 6 to 9 December owing to teachersâ€™,childrenâ€™s sick leave,decontamination procedures including shock chlorination,waterworks across the country
